student_id	предмет1	предмет2	баллы за 2 экзамена
163	биология	физкультура	66
164	обществознание	ИЗО	273
165	обществознание	физкультура	72
166	биология	физика 	200
167	обществознание	физкультура	163
168	обществознание	учитель начальных класов	77
169	физкультура	английский язык	147
170	физика 	информатика	209
171	информатика	физика	188
172	информатика	английский язык	88
173	биология	физкультура 	214
175	обществознание	биология	197
176	физкультура	информатика	245
177	физика 	обществознание	231
178	биология	химия	179
179	физика 	физкультура	59
180	биология	английский язык	5
181	обществознание	русский язык	190
182	обществознание	английский язык	9
183	физкультура	русский язык	129
184	физика 	обществознание	102
185	биология	математика	75
186	физика 	математика	206
187	биология	физкультура 	194
188	обществознание	информатика	45
189	обществознание	учитель истории	33
190	физкультура	химия	37
191	физика 	обществознание	278
192	биология	русский язык	10
193	физика 	история	25
194	биология	физика	160
195	обществознание	математика	279
196	обществознание	физкультура	112
198	физика 	английский язык	98
199	биология	обществознание	189
200	физика 	русский язык	278
201	биология	история	261
203	обществознание	информатика	92
204	физкультура	химия	250
205	физика 	русский язык	27
206	обществознание	информатика	276
207	обществознание	физкультура 	85
208	физкультура	физика	17
209	физкультура	обществознание	215
210	физкультура	история	82
211	физкультура	русский язык	85
212	физкультура	обществознание	257
213	физкультура	английский язык	278
214	физкультура	английский язык	14
215	физкультура	география	171
216	физкультура	английский язык	244
217	физкультура	английский язык	107
218	физкультура	химия ГПД	285
219	физкультура	история	97
220	физкультура	русский язык	96
221	физкультура	русский язык	134
222	физкультура	химия	252
223	физкультура	обществознание	195
224	физкультура	география 	280
225	физкультура	информатика	291
226	физкультура	английский язык	35
227	физкультура	химия	287
228	физкультура	обществознание	270
229	физкультура	учитель экономики	123
230	физкультура	химия	279
231	физкультура	химия	220
232	физкультура	английский язык	149
233	физкультура	обществознание	39
235	физкультура	литература	1
236	информатика	английский язык	137
237	биология	русский язык	207
238	обществознание	математика	30
239	обществознание	русский язык	209
240	физкультура	физика	50
241	физика 	русский язык	164
242	биология	химия	281
243	физика 	обществознание	234
244	биология	информатика	19
245	обществознание	химия	186
247	физкультура	русский язык	171
248	физика 	русский язык	200
249	биология	учитель истории	270
250	физика 	физкультура	24
251	биология	химия 	87
252	обществознание	ИЗО	131
253	обществознание	история	15
254	физкультура	информатика	174
255	физика 	литература	280
256	биология	физика	190
257	физика 	русский язык	53
258	биология	английский язык	264
259	обществознание	биология	105
261	физкультура	обществознание	29
262	физика 	биология	72
263	биология	физкультура	143
264	физика 	химия	115
265	биология	химия	187
266	обществознание	русский язык	182
268	физкультура	математика	100
269	физика 	обществознание	275
271	обществознание	математика	189
272	физкультура	информатика	40
273	физкультура	химия гпд	19
274	физкультура	физика	134
275	физкультура	немецкий язык	138
276	физкультура	английский язык	22
277	физкультура	обществознание	162
278	информатика	русский язык	147
279	биология	математика	214
280	обществознание	учитель истории	27
281	обществознание	химия	257
282	физкультура	математика	151
283	физика 	ИЗО	144
284	биология	литература	54
285	физика 	обществознание	103
286	биология	обществознание	56
288	обществознание	математика	12
289	физкультура	английский язык	189
290	физика 	история	137
291	биология	информатика	277
292	физика 	русский язык	102
293	биология	обществознание	118
294	обществознание	физкультура	47
295	обществознание	английский язык	152
296	физкультура	математика	48
297	физика 	русский язык	175
298	биология	география	178
299	физика 	немецкий язык	194
300	биология	английский язык	291
301	обществознание	физкультура	82
302	обществознание	информатика	36
303	физкультура	русский язык	195
304	физика 	математика	46
305	биология	информатика	76
306	физика 	русский язык	100
307	биология	обществознание	115
308	обществознание	математика	63
309	обществознание	химия	287
311	физика 	физкультура	84
312	обществознание	английский язык	99
313	обществознание	русский язык	198
314	физкультура	информатика	147
315	биология	обществознание	239
316	биология	обществознание	82
317	биология	французский язык	184
318	биология	обществознание	261
319	биология	обществознание	67
320	биология	английский язык	253
321	биология	учитель истории	105
322	физика 	математика	86
323	обществознание	информатика	106
325	физкультура	русский язык	176
326	биология	обществознание	72
327	биология	информатика	62
328	биология	английский язык	184
329	биология	физкультура	179
330	биология	литература	76
331	биология	французский язык	169
332	биология	английский язык	199
333	физика 	химия	281
335	информатика	обществознание	264
336	биология	математика	247
337	обществознание	физкультура	188
339	физкультура	русский язык	233
340	биология	обществознание	93
341	обществознание	информатика	228
342	обществознание	ИЗО	144
343	физкультура	обществознание	122
344	информатика	обществознание	177
345	биология	математика 	171
346	физика 	учитель начальных класов	142
347	биология	информатика	42
349	обществознание	химия	120
350	физкультура	математика	100
351	физика 	математика	297
352	обществознание	химия	23
353	обществознание	физкультура	250
354	физкультура	литература	116
355	биология	история	70
356	биология	химия	121
357	биология	физкультура 	35
358	биология	химия	69
359	информатика	русский язык	238
360	биология	обществознание	158
361	биология	обществознание	48
363	биология	английский язык	197
364	биология	математика	7
365	биология	физкультура	275
366	биология	химия	298
367	биология	физкультура 	175
368	биология	физкультура	110
369	биология	русский язык	34
370	биология	физика	84
371	биология	английский язык	145
372	биология	физкультура	46
373	биология	физкультура	34
374	биология	математика	39
375	биология	физика	120
376	биология	физкультура	187
377	информатика	обществознание	155
378	обществознание	русский язык	75
380	физкультура	обществознание	7
381	биология	обществознание	95
382	биология	обществознание	166
383	обществознание	русский язык	21
384	обществознание	история	273
385	физкультура	физкультура 	47
386	биология	информатика	267
387	биология	информатика	298
388	обществознание	английский язык	18
389	обществознание	физкультура	292
390	физкультура	информатика	12
391	биология	физика	51
392	биология	обществознание	111
393	обществознание	английский язык	131
394	обществознание	математика	179
395	физкультура	обществознание	198
396	биология	английский язык	283
397	биология	обществознание	29
398	информатика	физкультура	260
399	физкультура	литература	40
400	биология	информатика	49
401	биология	физкультура	233
402	обществознание	английский язык	7
403	обществознание	физика	117
404	физкультура	химия	211
405	биология	обществознание	182
406	биология	русский язык	142
407	физкультура	обществознание	123
408	биология	физика	58
409	биология	обществознание	68
411	обществознание	физика	208
412	физкультура	обществознание	149
413	биология	история	116
414	биология	география	135
415	физкультура	информатика	94
416	биология	химия	249
417	биология	русский язык	95
418	обществознание	английский язык	66
419	обществознание	английский язык	9
420	физкультура	история	34
421	биология	русский язык	55
422	биология	математика	47
423	физкультура	английский язык	136
424	биология	история	87
425	биология	английский язык	63
427	обществознание	английский язык	167
428	физкультура	математика	146
429	биология	математика	90
430	биология	русский язык	45
431	физкультура	информатика	79
432	биология	обществознание	89
433	информатика	обществознание	133
434	обществознание	история	213
435	физкультура	обществознание	259
436	физика 	физика	184
437	обществознание	английский язык	97
438	физкультура	химия	284
439	физика 	биология	144
440	физика 	математика	70
441	физика 	русский язык	11
442	информатика	обществознание	41
443	биология	английский язык	118
444	обществознание	математика 	279
445	обществознание	история	94
446	физкультура	обществознание	152
447	физика 	русский язык	72
448	биология	математика	1
449	физика 	обществознание	249
450	биология	математика	219
451	обществознание	химия ГПД	160
452	обществознание	ИЗО	139
453	физкультура	физкультура 	71
454	физика 	английский язык	70
455	биология	обществознание	121
456	физика 	обществознание	195
457	биология	история	109
460	физкультура	обществознание	146
461	физика 	физкультура	195
462	биология	литература	25
463	физика 	физкультура	17
464	биология	обществознание	143
465	обществознание	физкультура	153
466	обществознание	химия	54
467	физкультура	физика	240
468	физика 	история	244
469	биология	обществознание	17
470	физика 	обществознание	56
471	биология	химия	168
473	обществознание	русский язык	268
474	физкультура	физкультура 	179
475	физика 	история	58
476	обществознание	география	5
477	обществознание	история	32
478	физкультура	математика	23
479	обществознание	химия	32
482	физика 	математика	83
483	обществознание	химия	274
484	обществознание	русский язык	64
485	физкультура	информатика	97
487	обществознание	математика 	25
488	информатика	обществознание	53
489	обществознание	русский язык	230
490	физкультура	русский язык	124
492	обществознание	русский язык	61
493	физкультура	учитель истории	189
494	обществознание	химия	300
495	обществознание	химия	300
496	информатика	обществознание	160
497	обществознание	информатика	22
498	физкультура	химия	297
499	обществознание	английский язык	191
500	физкультура	история	139
501	информатика	французский язык	149
502	физкультура	обществознание	29
503	физика 	химия	101
504	биология	физкультура	278
505	физика 	информатика	65
506	биология	обществознание	78
507	обществознание	математика	123
508	физкультура	русский язык	6
509	информатика	математика	285
510	физика 	математика	106
511	биология	физика	99
512	физика 	физика	299
513	биология	французский язык	152
514	обществознание	физика	12
515	физика 	английский язык	191
516	биология	английский язык	200
517	физика 	физика	71
518	информатика	биология	288
519	физкультура	математика	255
520	физика 	английский язык	111
521	биология	физика	143
522	физика 	информатика	233
523	биология	обществознание	18
524	обществознание	английский язык	61
527	физика 	обществознание	15
529	физика 	обществознание	94
530	физкультура	обществознание	106
531	физика 	обществознание	265
532	биология	информатика	20
533	физика 	учитель истории	233
534	биология	математика	68
535	обществознание	русский язык	7
537	информатика	физкультура	230
538	биология	русский язык	139
539	обществознание	география	105
540	обществознание	физика	152
541	физкультура	информатика	74
542	физика 	математика	241
543	биология	география	88
544	физика 	английский язык	89
545	биология	математика 	285
546	обществознание	физика	25
547	обществознание	физкультура	26
548	физкультура	география	271
549	физика 	химия	281
550	биология	география	159
551	физика 	английский язык	140
552	биология	русский язык	183
554	обществознание	физкультура	245
556	физика 	английский язык	189
557	биология	обществознание	78
558	физика 	английский язык	31
559	биология	обществознание	109
560	обществознание	английский язык	148
561	обществознание	учитель истории	286
562	физкультура	обществознание	103
563	физика 	английский язык	170
564	биология	литература	89
565	физика 	математика	120
566	биология	математика	104
567	обществознание	английский язык	115
568	обществознание	математика	104
569	физкультура	физика	247
570	физика 	французский язык	104
574	физкультура	литература	36
575	физика 	русский язык	19
576	биология	обществознание	180
577	физика 	обществознание	36
578	биология	русский язык	15
579	обществознание	биология	235
580	обществознание	литература	85
581	физкультура	география 	279
582	физика 	физика	84
583	биология	обществознание	99
584	физика 	математика	265
585	биология	обществознание	79
586	обществознание	английский язык	82
587	обществознание	биология	211
589	физика 	информатика	8
590	обществознание	химия	21
591	обществознание	английский язык	99
592	физкультура	ИЗО	32
593	физкультура	физкультура 	181
594	физкультура	информатика	81
595	физкультура	история	112
596	физкультура	химия	229
597	физкультура	биология	107
598	физкультура	математика	73
599	физкультура	английский язык	222
600	физкультура	биология	121
601	физкультура	информатика	44
602	физкультура	обществознание	202
603	физкультура	математика	203
604	физкультура	математика	14
605	информатика	английский язык	162
606	физкультура	русский язык	94
607	физика 	обществознание	73
608	биология	литература	27
609	физика 	математика	231
610	биология	русский язык	48
611	обществознание	информатика	284
612	обществознание	русский язык	107
613	физкультура	химия	17
614	физика 	математика	123
615	биология	английский язык	275
616	физика 	литература	161
617	биология	физкультура 	20
618	обществознание	математика	113
619	обществознание	русский язык	49
620	физкультура	обществознание	43
621	физика 	английский язык	127
622	обществознание	русский язык	2
623	обществознание	физкультура	245
624	физкультура	химия	76
625	физкультура	математика	25
626	физкультура	физика	250
627	физика 	биология	183
628	биология	химия	118
629	физика 	обществознание	87
630	биология	математика	217
632	физкультура	физкультура 	267
633	физкультура	русский язык	285
634	физика 	обществознание	48
635	биология	история	41
636	физика 	физкультура	173
637	биология	русский язык	144
638	обществознание	история	265
639	физкультура	математика	247
640	физкультура	химия	150
641	физика 	обществознание	199
642	биология	обществознание	161
643	физика 	история	195
644	биология	учитель испанского языка	295
646	физкультура	информатика	74
648	физика 	информатика	68
649	биология	немецкий язык	143
650	физика 	английский язык	137
651	информатика	учитель истории	157
652	биология	химия	147
653	обществознание	учитель испанского языка	15
654	физкультура	математика	125
655	физкультура	русский язык	14
656	физика 	математика	60
657	биология	физика	246
658	обществознание	физика	117
659	информатика	английский язык	172
660	физкультура	химия	28
661	физика 	химия	12
662	биология	физика	193
663	физика 	география 	76
664	биология	обществознание	26
665	обществознание	химия	202
666	обществознание	французский язык	278
667	физкультура	обществознание	8
668	физика 	химия	32
669	биология	французский язык	14
670	физика 	французский язык	187
671	биология	обществознание	88
672	обществознание	химия	119
674	физкультура	математика 	13
675	физика 	история	265
676	обществознание	информатика	122
677	обществознание	география	103
678	физкультура	биология	206
679	физкультура	русский язык	6
680	физика 	математика	130
681	биология	химия	278
682	физика 	математика	75
683	биология	информатика 	55
685	обществознание	русский язык	24
686	физкультура	информатика	119
687	физика 	информатика	93
688	биология	обществознание	102
689	физика 	физика	12
690	биология	английский язык	249
691	обществознание	информатика	139
692	обществознание	английский язык	114
693	физкультура	французский язык	56
694	физика 	математика 	196
695	обществознание	математика	214
696	обществознание	математика	291
697	физкультура	английский язык	113
698	физкультура	химия	298
699	физика 	русский язык	283
700	биология	русский язык	25
701	физика 	математика	190
702	биология	обществознание	285
704	обществознание	английский язык	261
705	физкультура	английский язык	135
706	физика 	математика 	40
707	биология	информатика	17
708	физика 	английский язык	41
709	биология	информатика	37
711	обществознание	литература	269
712	физкультура	литература	136
713	физика 	физкультура	46
714	обществознание	английский язык	271
716	физкультура	обществознание	99
717	физкультура	английский язык	19
718	физика 	информатика	144
719	биология	французский язык	171
720	физика 	обществознание	68
721	биология	информатика	65
722	обществознание	информатика	110
724	физкультура	русский язык	1
725	физика 	английский язык	17
726	информатика	обществознание	13
727	обществознание	химия	33
728	физкультура	информатика	110
729	физика 	математика	11
730	обществознание	информатика	71
731	физкультура	обществознание	223
732	физика 	обществознание	282
733	информатика	история	57
734	обществознание	русский язык	112
735	обществознание	информатика	223
736	обществознание	русский язык	32
738	обществознание	биология	263
739	обществознание	физика	64
740	обществознание	французский язык	288
742	обществознание	физкультура	3
743	обществознание	русский язык	257
744	обществознание	физкультура	117
745	обществознание	математика	62
746	обществознание	информатика	108
747	обществознание	физика	133
748	информатика	русский язык	90
749	обществознание	русский язык	13
751	физкультура	обществознание	109
752	физкультура	обществознание	250
753	физика 	физкультура	118
754	биология	информатика	65
755	физика 	обществознание	294
756	биология	русский язык	207
757	обществознание	английский язык	108
758	обществознание	биология	209
760	физика 	химия	171
761	биология	история	110
762	физика 	английский язык	224
763	биология	обществознание	163
764	обществознание	математика	14
765	обществознание	химия	184
766	физкультура	обществознание	115
767	физика 	физкультура	96
768	обществознание	химия	128
769	обществознание	информатика	70
770	физкультура	информатика	91
771	физкультура	математика	68
772	физика 	русский язык	75
773	биология	ИЗО	190
774	физика 	русский язык	117
775	биология	история	18
776	обществознание	физкультура	286
778	физкультура	химия	41
779	физкультура	французский язык	94
780	физика 	английский язык	47
781	биология	физика	24
782	физика 	учитель иностранного языка	75
783	биология	английский язык	44
784	обществознание	русский язык	8
786	физкультура	обществознание	159
787	физика 	английский язык	176
788	биология	обществознание	79
789	физика 	информатика	242
790	биология	физика	167
792	обществознание	биология	194
794	физика 	физика	29
795	обществознание	география	124
796	обществознание	информатика	147
797	физкультура	обществознание	4
798	физкультура	обществознание	256
799	физика 	математика	66
800	биология	физкультура	124
801	физика 	обществознание	159
802	биология	история	44
803	обществознание	ИЗО	256
804	обществознание	история	41
805	физкультура	химия	57
806	физкультура	обществознание	193
807	физика 	литература	180
808	биология	физкультура 	83
809	физика 	русский язык	175
810	биология	математика	14
811	обществознание	информатика	187
812	обществознание	физкультура	23
813	информатика	обществознание	115
814	обществознание	физика	81
816	физкультура	английский язык	42
817	физкультура	география	108
818	физика 	обществознание	296
819	физика 	физкультура	231
820	физика 	русский язык	23
821	информатика	русский язык	57
822	физкультура	английский язык	83
823	физкультура	информатика	33
824	физика 	английский язык	255
825	физика 	литература	174
826	информатика	биология	102
827	физкультура	ИЗО	249
828	физкультура	обществознание	217
829	физика 	история	165
830	физика 	русский язык	28
831	физкультура	обществознание	254
832	физкультура	информатика	196
833	информатика	обществознание	207
834	информатика	английский язык	250
835	физкультура	учитель истории	167
836	физкультура	история	275
837	физика 	обществознание	3
838	физика 	литература	39
839	физкультура	русский язык	126
840	физкультура	ИЗО	80
841	информатика	математика	33
842	физкультура	химия	199
843	физкультура	обществознание	36
844	физика 	обществознание	200
845	физика 	английский язык	155
846	физкультура	география	15
847	физкультура	русский язык	12
848	физкультура	обществознание	119
849	информатика	обществознание	20
850	биология	английский язык	121
851	биология	русский язык	47
852	информатика	физика	156
854	биология	учитель истории	103
855	информатика	английский язык	234
856	обществознание	история	24
858	обществознание	английский язык	225
859	обществознание	история	89
860	обществознание	история	121
861	обществознание	биология	158
862	обществознание	английский язык	152
863	обществознание	физика 	163
864	обществознание	математика 	46
867	информатика	английский язык	200
868	физика 	физкультура	76
869	физика 	французский язык	205
870	физика 	физика	107
871	физика 	английский язык	71
872	физика 	обществознание	139
873	физика 	физика	239
874	информатика	физкультура	9
875	физика 	физика	33
876	физкультура	информатика	196
877	физкультура	английский язык	32
878	физика 	обществознание	259
879	физкультура	обществознание	209
881	физика 	история	299
882	информатика	английский язык	272
883	физкультура	обществознание	159
884	физика 	математика	5
885	физкультура	обществознание	231
886	физкультура	обществознание	107
887	физика 	русский язык	138
888	физкультура	математика	119
889	информатика	математика	146
890	обществознание	русский язык	197
892	обществознание	физика	50
893	обществознание	физика	108
894	обществознание	учитель ОБЖ	242
895	информатика	обществознание	59
896	обществознание	английский язык	101
897	обществознание	география	12
898	информатика	русский язык	29
899	физкультура	математика	42
900	физика 	биология	244
901	физкультура	география	9
902	физкультура	биология	9
903	физика 	физика	102
904	физкультура	английский язык	192
905	информатика	обществознание	31
906	физкультура	физика	105
907	физика 	математика	17
909	физкультура	история	46
910	физика 	обществознание	94
911	физкультура	математика	11
912	физкультура	английский язык	180
913	физика 	английский язык	25
914	физкультура	английский язык	188
915	физкультура	немецкий язык	213
916	физика 	физкультура	190
917	физкультура	русский язык	243
918	информатика	география	45
919	обществознание	история	182
921	обществознание	география	50
922	обществознание	литература	19
923	информатика	русский язык	236
925	физика 	немецкий язык	121
927	физкультура	английский язык	135
928	физика 	история	102
929	физкультура	математика	54
930	физкультура	русский язык	172
931	физика 	история	114
932	информатика	английский язык	192
933	физкультура	английский язык	284
935	физика 	русский язык	240
936	информатика	английский язык	185
937	обществознание	ИЗО	148
938	обществознание	английский язык	277
939	информатика	биология	119
940	физкультура	математика	127
941	физкультура	история	265
942	физика 	русский язык	109
943	физкультура	химия	35
944	физкультура	русский язык	48
945	физика 	физкультура 	184
946	информатика	русский язык	152
947	физкультура	русский язык	55
948	физика 	обществознание	42
949	физкультура	информатика	127
950	физкультура	химия ГПД	29
951	физика 	информатика	278
952	физкультура	французский язык	78
953	физкультура	русский язык	48
954	физика 	французский язык	100
955	физкультура	математика	106
956	информатика	обществознание	110
957	биология	английский язык	190
958	биология	обществознание	21
959	биология	информатика	219
960	информатика	физкультура	157
961	биология	учитель литературы	154
962	информатика	русский язык	199
963	биология	обществознание	5
964	биология	русский язык	190
965	биология	обществознание	134
966	биология	физика	124
967	биология	обществознание	187
968	биология	ИЗО	49
969	информатика	химия	27
970	биология	математика	101
971	информатика	физкультура	71
972	физика 	английский язык	103
973	физика 	информатика	162
974	физика 	обществознание	295
975	физика 	химия	258
976	физика 	учитель истории	178
977	физика 	физкультура	275
979	физика 	русский язык	17
980	физика 	биология	192
981	физика 	немецкий язык	42
983	физика 	английский язык	176
984	физика 	русский язык	97
985	физика 	физкультура 	121
986	информатика	история	286
987	биология	химия	86
988	биология	химия	144
989	биология	математика	62
990	биология	русский язык	254
991	биология	физкультура	170
992	биология	обществознание	8
993	биология	математика	96
994	информатика	география	152
995	физкультура	русский язык	229
996	физика 	английский язык	249
997	физкультура	французский язык	177
998	физкультура	английский язык	284
999	физика 	обществознание	269
1000	физкультура	биология	166
